Console,command,AT,521,"AT x, y","Moves the console cursor to the specified position. x,y are in pixels."
Console,command,BEEP,522,"BEEP","Generates a beep sound."
Console,command,CLS,524,"CLS ","Clears the screen."
Console,command,FORM,525,"FORM(map)","Creates a form object from a MAP variable. This provides access to the following sub-commands: doEvents, close, refresh. The form MAP may contain the following properties: value, inputs, focus. Inputs is an array of MAP, each may contain the following properties: x, y, width, height, value, label, name, type, backgroundColor, color, visible, isExit, selectedIndex, length, noFocus, onclick"
Console,command,INPUT,527,"INPUT [prompt,|;] var[, var [, ...]]","Reads from ""keyboard"" text and stores it in a variable."
Console,command,LINEINPUT,528,"LINEINPUT [#fileN] var","Reads a whole text line from file or console."
Console,command,LINPUT,529,"LINPUT [#fileN] var","Reads a whole text line from file or console."
Console,command,LOCATE,530,"LOCATE y, x","Moves the console cursor to the specified position. x,y are in character cells."
Console,command,LOGPRINT,531,"LOGPRINT ...","PRINT to the application logfile. The syntax is the same as command PRINT."
Console,command,NOSOUND,532,"NOSOUND","Stop background sound and clear the sound queue."
Console,command,PEN,533,"PEN ON|OFF","Enables/Disables the PEN/MOUSE mechanism."
Console,command,PLAY,534,"PLAY string","Play musical notes."
Console,command,PRINT,535,"PRINT [USING [format];] [expr|str [,|; [expr|str]] ...","Display text or the value of an expression."
Console,command,SOUND,536,"SOUND freq, dur_ms [, vol] [BG]","Plays a sound."
Console,function,CAT,538,"CAT (x)","Returns a console code. 0 = reset, 1 = bold, -1 bold-off, 2 = underline, -2 = underline-off, 3 = reverse, -3 = reverse-off."
Console,function,DEFINEKEY,1015,"DEFINEKEY k,sub","Binds a keystroke to a user defined function"
Console,function,INKEY,539,"INKEY","Returns the last key-code in keyboard buffer, or an empty string if there are no keys. Special key-codes like the function-keys are returned as 2-byte string."
Console,function,TAB,540,"TAB (n)","Moves cursor position to the nth column."
Data,command,APPEND,581,"APPEND a, val [, val [, ...]]","Inserts the values at the end of the specified array."
Data,command,DELETE,542,"DELETE a, idx [, count]","Deletes 'count' elements at position 'idx' of array 'a'."
Data,command,EMPTY,543,"EMPTY (x)","Returns true if x is: a zero length array, an empty string, an integer or real with the value 0."
Data,command,INSERT,544,"INSERT a, idx, val [, val [, ...]]]","Inserts the values to the specified array at the position idx."
Data,command,READ,546,"READ var[, var ...]","Assigns values in DATA items to specified variables."
Data,command,REDIM,547,"REDIM x","Same as DIM only the contents of x are preserved."
Data,command,SEARCH,548,"SEARCH A, key, BYREF ridx [USE cmpfunc]","Scans an array for the key. If key is not found the SEARCH command returns (in ridx) the value. (LBOUND(A)-1). In default-base arrays that means -1. The cmpfunc (if its specified) it takes 2 vars to compare. It must return 0 if x = y; non-zero if x <> y."
Data,command,SORT,549,"SORT array [USE cmpfunc]","Sorts an array. The cmpfunc if specified, takes 2 vars to compare and must return: -1 if x < y, +1 if x > y, 0 if x = y."
Data,command,SWAP,550,"SWAP a, b","Exchanges the values of two variables. The parameters may be variables of any type."
Data,function,ARRAY,1432,"ARRAY [var | expr]","Creates a ARRAY or MAP variable from the given string or expression"
Data,function,CDBL,552,"CDBL (x)","Convert x to 64b real number. Meaningless. Used for compatibility."
Data,function,CINT,553,"CINT (x)","Converts x to 32b integer. Meaningless. Used for compatibility."
Data,function,CREAL,554,"CREAL (x)","Convert x to 64b real number. Meaningless. Used for compatibility."
Data,function,ISARRAY,555,"ISARRAY (x)","Returns true if x is an array."
Data,function,ISDIR,556,"ISDIR (x)","Returns true if x is a directory."
Data,function,ISFILE,557,"ISFILE (x)","Returns true if x is a regular file."
Data,function,ISLINK,558,"ISLINK (x)","Returns true if x is a link."
Data,function,ISMAP,1430,"ISMAP (x)","Returns true if x is an MAP variable type. A MAP provides value-key pair access along with array or dotted notation. The MAP can be initialized from a String variable using the ARRAY command."
Data,function,ISNUMBER,559,"ISNUMBER (x)","Returns true if x is a number (or it can be converted to a number)."
Data,function,ISREF,1431,"ISREF (x)","Returns true if x is a reference variable type. The REF variable type is a ""reference"" to another variable (like a pointer in c). You create a reference by assigning a variable with the BYREF keyword (or @ symbol)."
Data,function,ISSTRING,560,"ISSTRING (x)","Returns true if x is a string (and cannot be converted to a number)."
Data,function,LBOUND,561,"LBOUND (array [, dim])","Returns the lower bound of 'array'."
Data,function,LEN,562,"LEN(d)","Returns the length of the value contained in the variable."
Data,function,UBOUND,567,"UBOUND (array [, dim])","Returns the upper bound of 'array'."
Data,statement,DATA,569,"DATA constant1 [,constant2]...","Stores one or more constants, of any type, for subsequent access via READ command."
Data,statement,DIM,570,"DIM var([lower TO] upper [, ...]) [, ...]","Reserves storage space for an array."
Data,statement,ERASE,571,"ERASE var[, var[, ... var]]","Deallocates the memory used by the specified arrays or variables. After that these variables turned to simple integers with zero value."
Data,statement,RESTORE,572,"RESTORE label","Specifies the position of the next data to be read."
Date,command,DATEDMY,573,"DATEDMY dmy| julian_date, BYREF d, BYREF m, BYREF y","Returns the day, month and the year as integers."
Date,command,TIMEHMS,574,"TIMEHMS hms| timer, BYREF h, BYREF m, BYREF s","Converts a time-value to hours, minutes and seconds integer values."
Date,function,DATE,575,"DATE","Returns the current date as string ""DD/MM/YYYY""."
Date,function,DATEFMT,576,"DATEFMT (format, dmy| (d,m,y)| julian_date)","Returns formatted date string."
Date,function,JULIAN,577,"JULIAN (dmy| (d,m,y))","Returns the Julian date. (dates must be greater than 1/1/100 AD)."
Date,function,TICKS,1448,"TICKS","Returns the number of milliseconds that have elapsed between successive calls."
Date,function,TIME,578,"TIME","Returns the current time as string ""HH:MM:SS""."
Date,function,TIMER,1449,"TIMER","Returns the number of seconds from midnight."
Date,function,TIMESTAMP,1450,"TIMESTAMP filename","Returns the file last modified date and time."
Date,function,WEEKDAY,579,"WEEKDAY (dmy| (d,m,y)| julian_date)","Returns the day of the week (0 = Sunday)."
File,command,ACCESS,580,"ACCESS (file)","Returns the access rights of the file."
File,command,BLOAD,582,"BLOAD filename[, address]","Loads a specified memory image file into memory."
File,command,BPUTC,583,"BPUTC# fileN; byte","Writes a byte on file or device. (Binary mode)."
File,command,BSAVE,584,"BSAVE filename, address, length","Copies a specified portion of memory to a specified file."
File,command,CHDIR,585,"CHDIR dir","Changes the current working directory."
File,command,CHMOD,586,"CHMOD file, mode","Change permissions of a file. See also ACCESS."
File,command,CLOSE,587,"CLOSE #fileN","Close a file or device."
File,command,COPY,588,"COPY ""file"", ""newfile""","Makes a copy of specified file to the 'newfile'."
File,command,DIRWALK,589,"DIRWALK directory [, wildcards] [USE ...]","Walk through the specified directories. The user-defined function must returns zero to stop the process."
